Vardas                Pavardė             ND1             ND2             ND3             ND4             ND5             ND6             ND7             ND8             ND9             ND10           Egz.
Vardas0              Pavarde0              6              0              10             0              2              8              4              6              6              8              3              
Vardas1              Pavarde1              0              3              8              4              4              9              10             4              4              4              9              
Vardas2              Pavarde2              3              9              8              8              2              5              3              7              5              8              6              
Vardas3              Pavarde3              10             0              9              4              2              8              5              6              6              9              3              
Vardas4              Pavarde4              1              4              5              2              3              10             9              4              2              3              0              
Vardas5              Pavarde5              9              1              6              9              6              2              2              1              5              0              5              
Vardas6              Pavarde6              9              9              9              0              6              8              7              0              9              2              3              
Vardas7              Pavarde7              4              4              4              2              0              0              9              4              6              1              8              
Vardas8              Pavarde8              5              10             10             3              8              7              0              1              6              9              8              
Vardas9              Pavarde9              9              10             4              6              1              1              8              5              7              9              3              
Vardas10             Pavarde10             2              10             2              0              1              5              9              9              3              0              8              
Vardas11             Pavarde11             1              2              6              10             3              9              1              8              8              2              4              
Vardas12             Pavarde12             2              0              0              5              10             8              1              0              9              3              1              
Vardas13             Pavarde13             6              0              8              3              6              6              8              4              7              8              8              
Vardas14             Pavarde14             10             1              2              3              2              8              8              10             8              9              7              
Vardas15             Pavarde15             7              3              8              6              4              3              5              5              7              5              5              
Vardas16             Pavarde16             5              10             6              4              8              3              7              4              6              5              10             
Vardas17             Pavarde17             9              0              7              9              2              2              4              1              4              9              6              
Vardas18             Pavarde18             10             0              9              6              7              3              9              0              2              6              9              
Vardas19             Pavarde19             7              7              10             4              3              0              2              6              7              8              1              
Vardas20             Pavarde20             0              8              10             8              6              3              4              3              6              3              0              
Vardas21             Pavarde21             5              10             5              2              3              2              0              1              3              4              5              
Vardas22             Pavarde22             6              2              7              0              10             4              5              10             9              9              8              
Vardas23             Pavarde23             3              10             9              7              3              8              6              8              4              3              4              
Vardas24             Pavarde24             9              3              5              6              8              4              5              2              4              0              1              
Vardas25             Pavarde25             2              3              10             6              0              1              6              2              9              5              2              
Vardas26             Pavarde26             5              7              10             8              6              2              5              1              6              3              10             
Vardas27             Pavarde27             7              2              5              5              5              4              2              7              5              4              10             
Vardas28             Pavarde28             6              5              1              4              8              9              10             0              5              5              1              
Vardas29             Pavarde29             2              5              10             1              6              7              8              5              2              1              6              
Vardas30             Pavarde30             5              3              9              1              8              2              0              1              8              9              2              
Vardas31             Pavarde31             9              2              8              10             1              6              7              5              5              3              0              
Vardas32             Pavarde32             5              8              0              3              8              0              4              3              3              2              2              
Vardas33             Pavarde33             2              1              6              0              5              1              4              4              4              2              2              
Vardas34             Pavarde34             5              7              0              8              0              7              5              5              3              5              9              
Vardas35             Pavarde35             9              9              6              6              3              0              1              9              3              8              8              
Vardas36             Pavarde36             3              5              2              8              6              1              3              3              1              10             1              
Vardas37             Pavarde37             6              0              9              5              4              6              0              5              9              6              10             
Vardas38             Pavarde38             0              5              10             8              9              10             7              0              8              10             8              
Vardas39             Pavarde39             5              10             3              6              6              0              3              1              3              8              7              
Vardas40             Pavarde40             5              0              2              3              6              7              2              8              0              6              8              
Vardas41             Pavarde41             9              2              4              8              6              10             4              9              8              9              1              
Vardas42             Pavarde42             6              2              1              6              1              4              0              10             10             0              2              
Vardas43             Pavarde43             10             9              6              4              4              4              7              4              4              2              2              
Vardas44             Pavarde44             10             6              2              4              4              2              2              9              9              10             7              
Vardas45             Pavarde45             9              3              3              1              10             0              10             0              0              2              1              
Vardas46             Pavarde46             2              2              5              10             6              9              1              1              6              4              10             
Vardas47             Pavarde47             9              9              3              5              7              7              10             10             7              8              9              
Vardas48             Pavarde48             0              3              1              4              8              9              3              10             6              8              5              
Vardas49             Pavarde49             3              10             7              10             3              2              0              3              0              9              2              
Vardas50             Pavarde50             10             3              2              10             8              4              1              10             0              4              0              
Vardas51             Pavarde51             3              8              10             4              1              1              7              7              10             2              2              
Vardas52             Pavarde52             3              6              1              8              6              2              4              9              4              7              2              
Vardas53             Pavarde53             2              10             5              7              0              5              3              2              5              1              2              
Vardas54             Pavarde54             4              4              10             9              6              1              4              7              7              7              2              
Vardas55             Pavarde55             1              6              6              3              2              6              8              10             4              0              10             
Vardas56             Pavarde56             3              10             7              7              6              4              6              5              0              10             3              
Vardas57             Pavarde57             5              5              4              6              9              4              1              3              6              7              1              
Vardas58             Pavarde58             5              3              10             5              6              5              8              4              2              1              3              
Vardas59             Pavarde59             8              10             2              5              4              8              10             8              10             9              3              
Vardas60             Pavarde60             9              5              9              2              7              3              5              0              0              3              8              
Vardas61             Pavarde61             5              6              0              7              9              6              9              0              8              4              4              
Vardas62             Pavarde62             2              4              9              6              1              4              8              9              2              9              8              
Vardas63             Pavarde63             6              8              8              3              5              9              9              0              10             4              0              
Vardas64             Pavarde64             4              9              4              8              7              10             3              10             0              1              1              
Vardas65             Pavarde65             4              0              4              3              1              5              0              2              10             6              0              
Vardas66             Pavarde66             3              1              1              5              9              4              4              8              8              8              1              
Vardas67             Pavarde67             2              4              4              8              9              4              4              7              0              5              8              
Vardas68             Pavarde68             0              4              8              1              3              4              3              2              9              8              10             
Vardas69             Pavarde69             6              4              1              8              0              0              10             9              0              7              8              
Vardas70             Pavarde70             9              1              1              10             4              9              0              9              0              5              6              
Vardas71             Pavarde71             5              5              8              8              3              9              4              7              4              7              8              
Vardas72             Pavarde72             8              0              5              8              2              7              2              10             6              10             7              
Vardas73             Pavarde73             3              4              0              0              0              5              6              6              5              6              6              
Vardas74             Pavarde74             1              8              5              6              5              4              9              3              6              2              4              
Vardas75             Pavarde75             2              5              7              7              3              0              0              5              8              10             5              
Vardas76             Pavarde76             0              1              10             8              3              0              0              6              0              9              9              
Vardas77             Pavarde77             10             5              3              0              8              10             2              3              4              9              8              
Vardas78             Pavarde78             3              7              9              7              8              3              3              8              4              5              7              
Vardas79             Pavarde79             6              5              8              1              0              2              8              1              7              8              3              
