Vardas                Pavardė             ND1             ND2             ND3             ND4           Egz.
Vardas0              Pavarde0              3              4              5              5              1              
Vardas1              Pavarde1              6              0              5              2              7              
Vardas2              Pavarde2              7              3              5              9              4              
Vardas3              Pavarde3              4              9              3              1              10             
Vardas4              Pavarde4              9              0              10             3              9              
Vardas5              Pavarde5              8              5              1              2              0              
Vardas6              Pavarde6              3              6              9              4              8              
Vardas7              Pavarde7              8              8              9              5              0              
Vardas8              Pavarde8              7              9              9              9              0              
Vardas9              Pavarde9              0              10             6              9              9              
Vardas10             Pavarde10             3              4              2              5              1              
Vardas11             Pavarde11             1              0              8              6              5              
Vardas12             Pavarde12             1              4              2              0              9              
Vardas13             Pavarde13             9              3              6              1              7              
Vardas14             Pavarde14             7              3              4              9              9              
Vardas15             Pavarde15             5              5              8              2              2              
Vardas16             Pavarde16             4              2              8              8              3              
Vardas17             Pavarde17             10             8              10             10             7              
Vardas18             Pavarde18             10             3              1              6              8              
Vardas19             Pavarde19             3              1              2              7              4              
Vardas20             Pavarde20             4              9              2              7              2              
Vardas21             Pavarde21             1              0              9              3              1              
Vardas22             Pavarde22             3              1              10             1              8              
Vardas23             Pavarde23             8              9              6              6              2              
Vardas24             Pavarde24             2              10             8              7              6              
Vardas25             Pavarde25             4              10             5              9              5              
Vardas26             Pavarde26             8              5              6              7              3              
Vardas27             Pavarde27             8              1              0              1              0              
Vardas28             Pavarde28             10             4              8              5              9              
Vardas29             Pavarde29             3              6              4              1              8              
Vardas30             Pavarde30             2              5              4              4              2              
Vardas31             Pavarde31             4              9              7              5              6              
Vardas32             Pavarde32             3              5              4              1              2              
Vardas33             Pavarde33             5              0              4              1              7              
Vardas34             Pavarde34             1              8              10             8              3              
Vardas35             Pavarde35             5              9              2              9              2              
Vardas36             Pavarde36             2              9              0              5              6              
Vardas37             Pavarde37             9              2              0              0              8              
Vardas38             Pavarde38             3              10             0              2              4              
Vardas39             Pavarde39             4              0              9              5              4              
Vardas40             Pavarde40             3              6              0              5              6              
Vardas41             Pavarde41             2              7              1              9              10             
Vardas42             Pavarde42             8              2              8              6              10             
Vardas43             Pavarde43             2              1              9              4              9              
Vardas44             Pavarde44             9              0              0              3              6              
Vardas45             Pavarde45             10             0              2              0              2              
Vardas46             Pavarde46             0              0              9              10             6              
Vardas47             Pavarde47             7              10             1              5              10             
Vardas48             Pavarde48             1              7              4              8              9              
Vardas49             Pavarde49             9              3              9              0              3              
Vardas50             Pavarde50             6              8              9              8              6              
Vardas51             Pavarde51             10             4              2              0              4              
Vardas52             Pavarde52             5              7              1              2              5              
Vardas53             Pavarde53             10             1              9              2              10             
Vardas54             Pavarde54             3              9              4              6              8              
Vardas55             Pavarde55             10             9              8              4              3              
Vardas56             Pavarde56             3              5              9              5              1              
Vardas57             Pavarde57             2              10             5              2              3              
Vardas58             Pavarde58             3              7              6              0              6              
Vardas59             Pavarde59             7              10             9              6              8              
Vardas60             Pavarde60             2              0              5              10             8              
Vardas61             Pavarde61             10             7              8              3              6              
Vardas62             Pavarde62             2              7              2              4              8              
Vardas63             Pavarde63             7              9              0              7              2              
Vardas64             Pavarde64             6              2              9              3              9              
Vardas65             Pavarde65             1              8              3              10             3              
Vardas66             Pavarde66             6              0              8              1              0              
Vardas67             Pavarde67             0              7              0              7              1              
Vardas68             Pavarde68             9              9              1              1              5              
Vardas69             Pavarde69             9              2              1              0              7              
Vardas70             Pavarde70             6              7              5              1              3              
Vardas71             Pavarde71             9              3              7              4              6              
Vardas72             Pavarde72             4              4              9              4              8              
Vardas73             Pavarde73             9              8              10             0              7              
Vardas74             Pavarde74             5              8              9              9              0              
Vardas75             Pavarde75             0              0              0              4              7              
Vardas76             Pavarde76             9              6              6              9              4              
Vardas77             Pavarde77             10             6              4              6              1              
Vardas78             Pavarde78             6              9              7              10             7              
Vardas79             Pavarde79             0              3              10             0              2              
Vardas80             Pavarde80             8              7              1              0              7              
Vardas81             Pavarde81             3              0              1              8              2              
Vardas82             Pavarde82             9              0              1              6              4              
Vardas83             Pavarde83             6              5              8              0              7              
Vardas84             Pavarde84             10             3              9              5              9              
Vardas85             Pavarde85             3              9              9              4              10             
Vardas86             Pavarde86             10             8              3              2              4              
Vardas87             Pavarde87             8              7              3              1              4              
Vardas88             Pavarde88             2              4              10             7              5              
Vardas89             Pavarde89             4              0              8              5              3              
Vardas90             Pavarde90             7              9              1              5              5              
Vardas91             Pavarde91             10             7              0              3              3              
Vardas92             Pavarde92             8              6              9              6              1              
Vardas93             Pavarde93             10             1              3              6              9              
Vardas94             Pavarde94             9              10             9              1              7              
Vardas95             Pavarde95             2              8              6              4              4              
Vardas96             Pavarde96             1              3              10             3              5              
Vardas97             Pavarde97             0              5              0              0              4              
Vardas98             Pavarde98             9              9              9              3              0              
Vardas99             Pavarde99             10             5              1              7              5              
Vardas100            Pavarde100            4              3              4              10             10             
Vardas101            Pavarde101            0              5              8              6              6              
Vardas102            Pavarde102            8              4              3              9              4              
Vardas103            Pavarde103            4              6              7              10             7              
Vardas104            Pavarde104            4              8              4              3              7              
Vardas105            Pavarde105            10             2              7              0              2              
Vardas106            Pavarde106            6              2              6              1              5              
Vardas107            Pavarde107            4              7              8              6              10             
Vardas108            Pavarde108            4              4              6              2              1              
Vardas109            Pavarde109            1              8              2              3              2              
Vardas110            Pavarde110            3              6              0              1              8              
Vardas111            Pavarde111            5              6              7              6              8              
Vardas112            Pavarde112            4              0              0              3              5              
Vardas113            Pavarde113            3              4              7              0              7              
Vardas114            Pavarde114            8              3              3              7              3              
Vardas115            Pavarde115            3              1              9              5              10             
Vardas116            Pavarde116            7              1              7              8              10             
Vardas117            Pavarde117            1              0              2              8              0              
Vardas118            Pavarde118            3              4              4              3              9              
Vardas119            Pavarde119            9              0              7              8              7              
Vardas120            Pavarde120            5              9              10             10             4              
Vardas121            Pavarde121            2              3              0              5              6              
Vardas122            Pavarde122            2              5              6              3              0              
Vardas123            Pavarde123            7              3              5              4              7              
Vardas124            Pavarde124            10             6              3              6              9              
Vardas125            Pavarde125            2              8              0              7              9              
Vardas126            Pavarde126            7              7              3              6              6              
Vardas127            Pavarde127            9              1              9              6              1              
Vardas128            Pavarde128            2              2              6              0              6              
Vardas129            Pavarde129            1              4              0              3              8              
Vardas130            Pavarde130            0              2              8              7              4              
Vardas131            Pavarde131            7              10             4              8              8              
Vardas132            Pavarde132            8              0              6              2              2              
Vardas133            Pavarde133            2              5              4              2              7              
Vardas134            Pavarde134            4              1              6              10             10             
Vardas135            Pavarde135            6              4              9              0              0              
Vardas136            Pavarde136            3              0              5              6              1              
Vardas137            Pavarde137            5              5              3              7              3              
Vardas138            Pavarde138            2              8              9              3              2              
Vardas139            Pavarde139            2              7              9              3              10             
Vardas140            Pavarde140            0              3              9              5              2              
Vardas141            Pavarde141            10             5              4              2              6              
Vardas142            Pavarde142            9              7              0              4              8              
Vardas143            Pavarde143            0              7              1              9              1              
Vardas144            Pavarde144            9              1              3              8              0              
Vardas145            Pavarde145            7              1              3              9              0              
Vardas146            Pavarde146            7              1              6              6              1              
Vardas147            Pavarde147            10             5              3              9              2              
Vardas148            Pavarde148            10             2              7              2              9              
Vardas149            Pavarde149            0              2              8              10             8              
Vardas150            Pavarde150            0              2              2              7              6              
Vardas151            Pavarde151            5              8              7              1              6              
Vardas152            Pavarde152            5              2              8              8              5              
Vardas153            Pavarde153            5              2              2              1              4              
Vardas154            Pavarde154            0              2              3              10             8              
Vardas155            Pavarde155            2              3              1              1              5              
Vardas156            Pavarde156            0              0              2              3              5              
Vardas157            Pavarde157            7              8              8              9              8              
Vardas158            Pavarde158            0              0              10             10             7              
Vardas159            Pavarde159            8              4              10             2              7              
Vardas160            Pavarde160            1              10             0              9              8              
Vardas161            Pavarde161            2              9              3              6              10             
Vardas162            Pavarde162            9              4              10             5              3              
Vardas163            Pavarde163            7              7              2              5              8              
Vardas164            Pavarde164            9              3              0              2              4              
Vardas165            Pavarde165            5              9              0              0              8              
Vardas166            Pavarde166            0              7              5              4              5              
Vardas167            Pavarde167            3              9              3              5              4              
Vardas168            Pavarde168            0              8              9              1              3              
Vardas169            Pavarde169            7              2              1              2              6              
Vardas170            Pavarde170            10             3              4              5              2              
Vardas171            Pavarde171            6              1              7              5              2              
Vardas172            Pavarde172            1              2              7              4              9              
Vardas173            Pavarde173            10             10             4              4              4              
Vardas174            Pavarde174            8              10             1              4              5              
Vardas175            Pavarde175            3              3              5              6              0              
Vardas176            Pavarde176            9              3              4              10             9              
Vardas177            Pavarde177            3              7              10             0              7              
Vardas178            Pavarde178            5              1              9              8              1              
Vardas179            Pavarde179            10             0              3              10             4              
Vardas180            Pavarde180            5              0              8              0              8              
Vardas181            Pavarde181            2              8              9              8              5              
Vardas182            Pavarde182            5              9              9              6              1              
Vardas183            Pavarde183            0              3              0              9              8              
Vardas184            Pavarde184            10             0              9              4              6              
Vardas185            Pavarde185            1              5              6              4              9              
Vardas186            Pavarde186            6              4              10             10             6              
Vardas187            Pavarde187            2              9              10             8              0              
Vardas188            Pavarde188            9              7              4              10             3              
Vardas189            Pavarde189            0              9              6              8              5              
Vardas190            Pavarde190            0              10             2              1              1              
Vardas191            Pavarde191            6              10             5              3              0              
Vardas192            Pavarde192            9              3              7              10             8              
Vardas193            Pavarde193            0              9              8              10             3              
Vardas194            Pavarde194            6              4              4              3              4              
Vardas195            Pavarde195            1              9              6              6              1              
Vardas196            Pavarde196            0              8              5              10             7              
Vardas197            Pavarde197            0              4              9              1              9              
Vardas198            Pavarde198            10             3              1              2              8              
Vardas199            Pavarde199            9              9              5              2              4              
Vardas200            Pavarde200            2              7              5              7              0              
Vardas201            Pavarde201            5              3              0              1              1              
Vardas202            Pavarde202            10             1              4              4              7              
Vardas203            Pavarde203            3              2              9              1              3              
Vardas204            Pavarde204            5              4              6              10             7              
Vardas205            Pavarde205            0              9              4              10             4              
Vardas206            Pavarde206            10             5              5              10             1              
Vardas207            Pavarde207            0              3              9              3              5              
Vardas208            Pavarde208            10             2              6              0              6              
