Vardas                Pavardė             ND1             ND2             ND3             ND4             ND5             ND6             ND7             ND8           Egz.
Vardas0              Pavarde0              10             10             4              9              4              3              7              10             1              
Vardas1              Pavarde1              6              6              0              9              3              7              5              8              2              
Vardas2              Pavarde2              7              3              9              4              7              9              3              8              4              
Vardas3              Pavarde3              0              10             0              5              6              9              2              3              4              
Vardas4              Pavarde4              9              6              0              5              8              10             5              2              9              
Vardas5              Pavarde5              3              1              3              0              1              0              8              9              7              
Vardas6              Pavarde6              10             3              9              0              1              1              3              5              2              
Vardas7              Pavarde7              0              2              3              7              2              6              7              10             2              
Vardas8              Pavarde8              1              5              1              5              7              1              1              5              6              
Vardas9              Pavarde9              4              8              8              9              5              8              2              1              3              
Vardas10             Pavarde10             7              10             9              5              6              8              7              1              10             
Vardas11             Pavarde11             10             1              1              0              3              1              0              10             10             
Vardas12             Pavarde12             1              2              5              6              8              2              9              3              2              
Vardas13             Pavarde13             8              8              2              5              1              3              2              3              1              
Vardas14             Pavarde14             4              9              0              9              5              8              3              1              9              
Vardas15             Pavarde15             1              0              0              9              0              1              3              7              2              
Vardas16             Pavarde16             5              9              2              10             7              4              6              8              10             
Vardas17             Pavarde17             2              9              9              3              0              7              10             6              4              
Vardas18             Pavarde18             6              9              8              0              7              3              7              6              4              
Vardas19             Pavarde19             5              7              3              4              3              1              6              0              10             
Vardas20             Pavarde20             5              5              8              4              4              2              0              4              7              
Vardas21             Pavarde21             5              1              2              7              4              9              2              4              3              
Vardas22             Pavarde22             10             6              0              8              7              7              7              6              9              
Vardas23             Pavarde23             2              5              10             2              0              8              3              0              10             
Vardas24             Pavarde24             0              8              4              10             1              9              8              3              6              
Vardas25             Pavarde25             9              6              4              4              6              8              4              9              3              
Vardas26             Pavarde26             7              9              8              5              4              4              3              2              6              
Vardas27             Pavarde27             9              0              2              3              9              4              0              6              6              
Vardas28             Pavarde28             9              9              8              4              9              2              0              5              4              
Vardas29             Pavarde29             2              9              0              3              8              7              2              9              5              
Vardas30             Pavarde30             9              3              3              3              2              9              4              8              3              
Vardas31             Pavarde31             7              8              0              8              10             5              4              4              0              
Vardas32             Pavarde32             9              3              5              2              9              8              4              6              0              
Vardas33             Pavarde33             7              6              1              6              5              7              3              5              1              
Vardas34             Pavarde34             7              5              0              5              1              2              9              5              7              
Vardas35             Pavarde35             9              3              3              4              3              4              1              0              0              
Vardas36             Pavarde36             6              3              4              0              7              7              2              0              1              
Vardas37             Pavarde37             7              7              10             2              10             10             8              10             1              
Vardas38             Pavarde38             1              2              10             10             1              1              10             5              5              
Vardas39             Pavarde39             8              9              4              1              3              6              6              2              9              
Vardas40             Pavarde40             7              2              0              1              0              2              4              3              6              
Vardas41             Pavarde41             9              6              10             4              9              5              6              10             3              
Vardas42             Pavarde42             4              3              6              4              3              4              2              4              5              
Vardas43             Pavarde43             4              2              10             8              1              1              0              0              8              
Vardas44             Pavarde44             2              2              9              7              2              9              5              8              1              
Vardas45             Pavarde45             7              6              1              6              6              4              6              9              1              
Vardas46             Pavarde46             5              8              8              2              6              9              7              2              9              
Vardas47             Pavarde47             6              0              3              6              0              3              4              7              8              
Vardas48             Pavarde48             0              2              4              1              9              7              9              4              8              
Vardas49             Pavarde49             7              6              6              3              9              4              5              3              3              
Vardas50             Pavarde50             3              3              3              8              10             4              10             9              0              
Vardas51             Pavarde51             9              1              3              0              7              2              9              3              5              
Vardas52             Pavarde52             6              2              3              4              5              9              8              4              6              
Vardas53             Pavarde53             5              7              9              7              4              7              7              9              2              
Vardas54             Pavarde54             9              8              10             9              10             7              6              8              5              
Vardas55             Pavarde55             7              6              9              8              7              0              6              5              5              
Vardas56             Pavarde56             4              5              3              9              3              6              2              6              9              
Vardas57             Pavarde57             4              1              10             2              2              6              0              2              8              
Vardas58             Pavarde58             8              3              9              10             4              10             1              9              10             
Vardas59             Pavarde59             7              9              5              10             7              2              6              2              0              
Vardas60             Pavarde60             1              3              6              1              3              2              2              1              3              
Vardas61             Pavarde61             10             2              3              8              3              9              7              7              1              
Vardas62             Pavarde62             3              6              7              4              3              0              8              2              2              
Vardas63             Pavarde63             3              7              8              4              10             4              2              4              2              
Vardas64             Pavarde64             9              2              9              9              8              9              10             7              10             
Vardas65             Pavarde65             10             10             6              3              0              3              6              6              8              
Vardas66             Pavarde66             3              8              8              4              0              1              9              3              7              
Vardas67             Pavarde67             1              0              10             0              7              1              1              9              3              
Vardas68             Pavarde68             3              1              10             0              3              8              5              3              10             
Vardas69             Pavarde69             1              1              10             2              7              4              3              0              3              
Vardas70             Pavarde70             10             6              1              10             1              8              10             4              3              
Vardas71             Pavarde71             2              2              7              7              6              8              1              7              5              
Vardas72             Pavarde72             2              6              2              3              0              4              2              0              10             
Vardas73             Pavarde73             3              3              4              3              3              5              1              4              8              
Vardas74             Pavarde74             5              4              5              8              3              4              0              8              6              
Vardas75             Pavarde75             6              5              4              1              9              7              0              9              6              
Vardas76             Pavarde76             10             0              10             9              1              8              6              9              8              
Vardas77             Pavarde77             0              4              5              3              9              4              2              0              6              
Vardas78             Pavarde78             5              9              8              3              10             1              2              7              0              
Vardas79             Pavarde79             1              4              6              5              5              9              0              8              0              
Vardas80             Pavarde80             0              9              3              8              10             5              9              6              0              
Vardas81             Pavarde81             0              3              3              5              2              5              2              4              6              
Vardas82             Pavarde82             10             10             4              9              6              10             0              0              2              
Vardas83             Pavarde83             10             6              0              5              10             8              1              3              1              
Vardas84             Pavarde84             10             7              8              5              9              0              2              4              6              
Vardas85             Pavarde85             7              8              8              1              5              0              6              5              6              
Vardas86             Pavarde86             6              2              5              10             9              10             4              6              5              
Vardas87             Pavarde87             6              0              10             8              6              3              3              6              3              
Vardas88             Pavarde88             10             6              2              1              0              4              8              3              2              
Vardas89             Pavarde89             8              0              9              10             7              8              6              9              9              
Vardas90             Pavarde90             8              4              1              9              9              7              5              0              7              
Vardas91             Pavarde91             9              4              4              3              1              0              3              10             4              
Vardas92             Pavarde92             0              8              10             7              10             7              10             0              3              
Vardas93             Pavarde93             7              6              5              10             4              3              0              3              7              
Vardas94             Pavarde94             7              9              10             10             8              7              4              0              8              
Vardas95             Pavarde95             4              8              9              8              1              7              3              8              3              
Vardas96             Pavarde96             2              9              1              5              9              1              9              1              1              
Vardas97             Pavarde97             4              3              1              8              3              6              3              3              6              
Vardas98             Pavarde98             1              3              6              10             6              3              9              4              1              
Vardas99             Pavarde99             9              2              7              3              5              8              1              0              6              
Vardas100            Pavarde100            9              6              9              10             8              1              4              6              9              
Vardas101            Pavarde101            3              4              6              4              10             9              3              4              10             
Vardas102            Pavarde102            10             1              8              2              1              7              6              8              3              
Vardas103            Pavarde103            2              0              4              4              6              9              2              3              8              
Vardas104            Pavarde104            4              9              6              10             1              8              10             6              0              
Vardas105            Pavarde105            7              6              1              5              7              6              0              2              7              
Vardas106            Pavarde106            1              1              4              6              3              4              5              4              0              
Vardas107            Pavarde107            8              4              8              4              6              10             2              0              0              
Vardas108            Pavarde108            4              1              9              2              10             7              10             1              8              
Vardas109            Pavarde109            8              1              2              1              5              7              1              6              7              
Vardas110            Pavarde110            7              5              10             1              3              1              6              5              10             
Vardas111            Pavarde111            5              10             10             8              3              9              10             3              0              
Vardas112            Pavarde112            8              5              8              0              1              8              2              7              2              
Vardas113            Pavarde113            0              0              9              0              4              4              4              0              3              
